Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
SP.DYN.AMRT.MA,"217,64","216,031","214,421","213,44","212,459","211,477","210,496","209,514","208,751","207,987","207,224","206,46","205,697","205,478","205,259","205,04","204,822","204,603","204,418","204,233","204,048","203,862","203,677","203,518","203,359","203,2","203,041","202,881","202,621","202,361","202,101","201,84","201,58","201,331","201,082","200,833","200,584","200,335","197,841","195,347","192,853","190,359","187,865","185,851","183,838","181,824","179,81","177,797","175,785","173,773","171,761","169,749","167,737","167,11","166,484"
SP.DYN.AMRT.FE,"164,407","162,745","161,082","160,223","159,363","158,504","157,645","156,786","155,993","155,201","154,409","153,616","152,824","152,62","152,416","152,212","152,008","151,804","151,622","151,44","151,259","151,077","150,895","150,729","150,564","150,398","150,233","150,067","149,822","149,577","149,332","149,087","148,842","148,615","148,389","148,162","147,935","147,709","147,112","146,515","145,919","145,322","144,725","143,015","141,304","139,594","137,883","136,173","134,471","132,769","131,067","129,365","127,663","126,899","126,134"
SP.ADO.TFRT,"96,5818","96,4404","96,299","97,12","97,941","98,762","99,583","100,404","99,0844","97,7648","96,4452","95,1256","93,806","94,185","94,564","94,943","95,322","95,701","95,9184","96,1358","96,3532","96,5706","96,788","95,751","94,714","93,677","92,64","91,603","91,7632","91,9234","92,0836","92,2438","92,404","92,3036","92,2032","92,1028","92,0024","91,902","88,8454","85,7888","82,7322","79,6756","76,619","74,8606","73,1022","71,3438","69,5854","67,827","66,3098","64,7926","63,2754","61,7582","60,241","59,1124","57,9838"
SH.DYN.MORT,"85,3","84,3","83,4","82,7",82,"81,3","80,6","80,1","79,4","78,7",78,"77,1","76,1","75,1","73,8","72,5","71,1","69,6",68,"66,4","64,7","62,9",61,"59,1","57,2","55,3","53,5","51,7","49,9","48,2","46,5","44,9","43,3","41,9","40,5","39,2","37,9","36,8","35,7","34,6","33,5","32,5","31,5","30,4","29,4","28,4","27,5","26,6","25,7","24,9","24,1","23,3","22,6","21,9","21,2"
SH.DTH.MORT,6434,6486,6590,6735,6880,6999,7098,7196,7249,7262,7236,7141,6992,6845,6729,6711,6773,6926,7124,7311,7436,7488,7465,7394,7292,7174,7052,6908,6743,6578,6401,6230,6050,5892,5734,5591,5458,5359,5247,5101,4912,4692,4433,4152,3916,3735,3634,3583,3553,3519,3446,3330,3192,3039,2896
SH.DTH.IMRT,4720,4789,4889,5012,5141,5239,5320,5396,5441,5442,5419,5325,5201,5077,5001,5014,5127,5302,5512,5696,5831,5888,5877,5829,5756,5683,5583,5483,5358,5252,5124,4995,4873,4762,4652,4544,4463,4399,4324,4218,4072,3877,3652,3424,3240,3095,3035,3016,3011,2988,2941,2845,2719,2581,2468
PA.NUS.FCRF,"123,1666666667",126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,201,"306,6666666667","339,1666666667",550,550,"1056,2166666667","1229,8083333333","1325,1833333333","1500,2583333333","1744,3458333333","1904,7608333333","1963,0191666667","2056,8116666667","2177,8625","2726,49","3119,0733333333","3486,3533333333","4105,925","5716,2583333333","6424,3391666667","5974,5775","6177,9583333333","5635,4625","5032,7166666667","4363,2416666667","4965,3916666667","4735,4616666667","4191,41625","4424,9175","4320,6741666667","4462,1916666667"
NY.GDP.PCAP.KN,"1174365,06126795","1222969,12243752","1230567,31611694","1254999,29652302","1273729,86563991","1316936,84344357","1307906,26521448","1390045,20909739","1415074,14232847","1443729,35104339","1486002,50446425","1530410,19103834","1593318,81777967","1669592,05967168","1766715,5823909","1842162,40553443","1931920,45490921","2099827,69543925","2291931,3414318","2496159,16236627","2712984,6105549","2879549,34857712","2758957,29792089","2598547,35887513","2595388,96371663","2635889,53381778","2689170,29216224","2812901,64236521","2898072,47767334","3016309,81271758","3058819,0530028","3085386,72725784","3060334,24673419","3134217,69961131","3223310,34725928","3363941,29371354","3339826,45187186","3404867,25219493","3334237,32037335","3220580,20737223","3083299,96984557","2998812,9378309","2942661,08631661","3015430,95620715","3085080,81186","3101017,29050488","3201853,81205573","3328282,34576344","3492532,07843521","3309849,6094958","3693762,05035945","3802790,31797035","3705397,04117876","4168962,09699259","4307968,34821362"
NY.GDP.PCAP.KD,"1025,5187545536","1067,962435757","1074,597587275","1095,9329070522","1112,289447745","1150,02010538","1142,1341186083","1213,8622636369","1235,7188747381","1260,7421446922","1297,6573366346","1336,4365177684","1391,3717152416","1457,977613706","1542,791099173","1608,6753243233","1687,0568821896","1833,6825183466","2001,4377575656","2179,7804786474","2369,1241256236","2514,5774163616","2409,2699496489","2269,191360517","2266,4332799369","2301,8005567563","2348,3281815479","2456,3770535251","2530,7528092677","2634,0040116198","2671,1253673142","2694,3256898646","2672,4485160007","2736,9675221221","2814,7680154007","2937,5745240546","2916,5161467345","2973,3132728943","2911,6354164042","2812,3839103646","2692,5034210208","2618,7247991039","2569,6899812862","2633,2365468308","2694,0585480804","2707,9751386457","2796,0310144589","2906,435212186","3049,8669157002","2890,3387551611","3225,5917537364","3320,8011029406","3235,7520537042","3640,5620011149","3761,9497384795"
NY.GDP.PCAP.CN,"16807,1829356798","18672,8209914244","20371,0929384936","21098,2025007334","21894,3883316502","23224,2077653346","23833,7217235519","24848,2536309077","25566,1987324004","26778,0752850182","27946,9158506804","30267,9340368508","33834,2398028914","42141,9517021651","55498,7020487802","61031,9820678447","67844,7624076472","82087,133943704","98293,3583773146","127654,965116907","162215,173072739","201029,608883389","204701,303373069","220631,898472963","277817,137243361","356013,430538375","471101,2516928","649584,059743148","858568,900776301","1183868,59143319","1662171,58218115","2140833,57490236","2422494,46590347","2784155,51324093","3223310,34725928","3736545,74085778","4133468,01637138","4357702,45681726","4834724,61667662","5036997,76887723","5388591,62958966","5819171,66439322","6563575,78084509","7547184,63865927","8415360,12673785","9311084,83782139","10198636,1249589","11636674,5109082","13350918,4768777","12911087,6952378","15287622,4440516","16715471,1736047","17060588,8359631","19356426,211085","21029730,3135527"
NY.GDP.MKTP.KN,2234665218500,2388863498900,2467702170000,2583938131600,2692785940300,2858876297400,2915810914200,3182618319800,3326697801200,3483090901800,3676521768300,3880133129900,4137436300200,4439585532400,4811690523100,5141408956000,5528348799200,6163781721500,6905206379200,7724312108600,8628994815900,9420313234600,9288653267800,9006035042200,9259698975300,9678527723400,10159050719600,10929340867000,11575852043600,12378660987200,12889068196400,13339367147400,13565659908200,14235309638300,14992332000000,16015230000000,16267276000000,16957417000000,16968954000000,16737146000000,16349824000000,16213457000000,16209987000000,16910380000000,17596505000000,17971924000000,18835856000000,19857065000000,21119799000000,20282252000000,22937808000000,23933861000000,23637328000000,26955128992700,28228040145100
NY.GDP.MKTP.KD,"1951429897,99617","2086084132,59966","2154930301,87333","2256433797,25633","2351485560,0305","2496524595,82458","2546242966,40407","2779233547,71544","2905051502,62167","3041622372,30926","3210536611,88237","3388341007,50663","3613031979,20827","3876884944,96367","4201827042,79298","4489754917,87459","4827651607,04993","5382545822,29155","6029997723,43965","6745284915,7843","7535302529,434","8226324347,06571","8111351780,5015","7864554340,5142","8086067334,49498","8451811131,1122","8871429664,43721","9544088464,20912","10108656807,1365","10809712769,3228","11255427805,2664","11648653076,2121","11846264089,9199","12431038262,6612","13092110918,128","13985360485,569","14205460613,319","14808128865,406","14818203594,5183","14615776377,2109","14277545968,157","14158462966,9553","14155432776,2627","14767053626,3267","15366214891,1453","15694050960,1953","16448482863,7657","17340257505,5353","18442944771,8053","17711553669,7976","20030528042,9171","20900335112,0465","20641386542,412","23538668873,1864","24650243376,482"
NY.GDP.MKTP.CN,31981901000,36474200100,40850906400,43439426700,46286816900,50416341100,53134255700,56892039700,60103576600,64603847200,69143520400,76739957900,87858757700,112058989500,151151991500,170338064800,194143350900,240956520800,296141473800,395025608800,515946121500,657659118100,689173200300,764665151200,991182091400,1307219370600,1779709349000,2523915342000,3429405800300,4858488967200,7003958882700,9255684159400,10738283273800,12645361493900,14992332000000,17789145000000,20132862000000,21702866000000,24605393000000,26176950000000,28574101000000,31462079000000,36156212000000,42324219000000,47999043000000,53962327000000,59996506000000,69426262000000,80734753000000,79117170000000,94934255000000,105203214000000,108832260000000,125152244903800,137797686414700
NY.GDP.DEFL.ZS,"1,4311719149","1,5268432088","1,6554228827","1,6811326157","1,7189192875","1,7635020146","1,8222805684","1,7875860057","1,8067038304","1,854784989","1,880677574","1,9777661057","2,1235071993","2,5240867347","3,1413489869","3,3130619692","3,5117782534","3,9092318918","4,2886694117","5,1140555074","5,9792146421","6,9812871581","7,4195169141","8,4905860083","10,704258249","13,5063865906","17,5184611055","23,0930242977","29,6255151447","39,2489056145","54,3403043259","69,3862314241","79,1578393271","88,8309549648",100,"111,0764253776","123,7629582236","127,984503772","145,0024144093","156,4003205803","174,7670250151","194,0491716233","223,0489882564","250,285440067","272,776002962","300,2590429383","318,5228534344","349,6300284055","382,270461002","390,0807957617","413,8767531754","439,5580554262","460,4253915671","464,2984455303","488,158886364"
FS.AST.PRVT.GD.ZS,"9,0707553625","9,4422906892","9,5983182395","10,1958067508","11,3682477051","12,6506602043","14,8096550828","18,4769258677","20,4094343364","23,0569859932","24,7770143911","24,7419995001","24,1281581426","22,7743442216","19,7640796549","20,2079905278","20,7857749508","20,7310845268","21,1485744284","20,3078479503","20,536155925","18,9878459164","19,8627717881","18,8654994639","17,1110234408","14,2812449233","13,9163285364","12,0485103022","14,1447244289","13,7636002575","14,6096374513","16,9434908646","19,9674747381","23,1053892877","26,8791005962","23,9644450928","25,7856592967","32,7741017845","25,1629665909","26,3822344037","25,6729204794","26,7967077891","23,7278947142","14,8106349677","14,7313590219","15,0968824919","14,7187776672","17,7562829078","24,9565255471","30,2868061793","34,572088031","38,9375090712","42,6750330284","45,6946688857","49,8666223542"
FS.AST.DOMS.GD.ZS,"12,8447649188","13,4588283953","13,1331235284","14,8436581462","16,8946592653","17,9802813973","19,9833419328","27,4117435097","27,3155125347","30,2673924967","31,3884798958","30,7835717486","30,8145718295","27,6953238098","22,4380106828","22,6717381375","22,3293766173","21,0184807748","19,7257071934","17,5188135803","18,8190774102","19,6509249919","21,2099077469","22,2957721733","20,8625843621","18,0708613499","17,3296892649","15,6803595356","16,0295699025","14,2745821732","13,7930992483","16,0057103774","26,6236411082","29,7652700701","29,7126624464","26,8281910289","26,0622410564","33,232180501","26,9285384407","26,4958172658","27,0406951156","28,5951351452","28,1234492296","17,7202804059","17,2626387083","17,0125552924","15,8293075365","17,259147205","22,7821727575","27,0542298006","29,6997320093","32,8581531516","38,4104024953","38,2481459617","40,7842872832"
FS.AST.CGOV.GD.ZS,"1,8322863297","1,8396565193","1,3145363159","1,9866744696","2,7394409141","2,673736274","2,4466325591","3,3658487375","3,369350236","2,9840328147","2,5727645768","2,655070521","3,3936286809","2,6221011033","0,6733619517","0,328523164","-0,0882852795","-0,8277841967","-2,3633636688","-3,5402261748","-3,2006636569","-0,5919480005","0,0141618972","2,2129555628","2,4530104217","1,8379241113","1,4324979533","1,0363818296","-1,2724361753","-3,1928033808","-2,8866245988","-2,9745397019","4,368472949","4,5278420888","1,3351758752","1,0166284664","-1,3331874375","-1,5668373016","-0,2245308945","-1,8427377597","-0,5730679436","0,5311838279","3,2519558027","1,8997410348","1,1662078467","0,7070385184","0,0106798374","-1,5088462216","-3,0897114823","-4,222128894","-5,6752107471","-6,939331004","-4,6577789549","-7,8794738828","-9,3733939787"
FP.CPI.TOTL.ZG,"8,1818181818","18,487394958","1,4184397163","2,0979020979","1,3698630137","3,8592981578","2,8731942216","1,3652675922","0,7080735779","2,2468475357","-0,859556021","4,9532569364","9,180374973","12,7968945326","25,2333177791","6,6930600837","4,4746147466","9,3598529166","10,6602475929","28,1610386024","22,4473301362","12,9746974698","5,1200654371","13,4337555632","20,311462546","25,2107164359","31,7425972673","21,8102740351","22,5942571785","26,4221267236","37,2599561799","24,2253521127","15,1927437642","18,2086614173","20,5661948376","13,4254143646","9,7996833902","6,9495660853","11,5532684356","6,752265861","8,9821597675","7,2680602858","10,5102420857","14,2367970499","4,3232649297","6,8073820312","9,5913088464","8,128776435","10,1545446608","2,5919467343","4,6511627907","8,253968254","3,6759189797","2,6838573872","5,0288276746"
FP.CPI.TOTL,"0,4109273932","0,4868971634","0,4938035061","0,5041630203","0,511069363","0,5307930535","0,5460437689","0,5534987275","0,5574179057","0,5699422362","0,5650432634","0,593031308","0,6474738058","0,7303303459","0,9146169229","0,9758327831","1,0194975407","1,114921011","1,2337743512","1,5812180225","1,9361592522","2,1873700577","2,299364836","2,6082558876","3,1380308053","3,9291508533","5,1763653847","6,3053448602","7,7299906939","9,7724186307","13,4136175303","16,663113608","19,1946977616","22,6897952871","27,3562227941","31,0289090587","34,0696439059","36,4373363242","40,6470396005","43,3916357789","47,2891418303","50,7261451672","56,057585825","64,03839055","66,8069398302","71,3547434478","78,1985972684","84,5551864157","93,1413805832","95,5555555556",100,"108,253968254","112,2332964193","115,2454780362","121,0409745293"
FM.LBL.BMNY.GD.ZS,"9,477235265","10,7829643672","10,1246223511","11,3468348329","13,4681976803","14,4357956988","14,7851887572","18,1730169186","16,8227925391","18,3532413531","19,5367547412","19,8621427703","21,4445326718","21,6868812653","19,4376532578","21,7727024453","23,5644948889","24,9630098411","26,5054735471","24,6791847992","25,4400594423","23,840116511","24,0414165739","25,2954511784","22,7947923959","20,879188768","19,5341334918","18,59571881","17,3959873733","19,5061058366","20,8251079772","23,5995304332","27,8936672057","30,3027161529","31,7520182984","26,901350419","26,1012514515","25,4754535184","24,182613132","25,6520784786","24,1676129093","30,6344539946","27,0470062102","25,6290458746","26,0110247806","25,6983107164","25,5890444267","28,7317800935","33,2522264421","41,0535343328","40,71988584","42,6591476011","46,0854117425","48,4665730521","50,6215017844"
FM.LBL.BMNY.CN,3031000000,3933000000,4136000000,4929000000,6234000000,7278000000,7856000000,10339000000,10111100000,11856900000,13508400000,15242200000,18840900000,24302100000,29380400000,37087200000,45748900000,60150000000,78493700000,97489100000,131257000000,156786700000,165687000000,193425500000,225937900000,272936800000,347650800000,469340200000,596579000000,947702000000,1458582000000,2184298000000,2995301000000,3831888000000,4760368000000,4785520233000,5254928935000,5528903540000,5950226998800,6714931757300,6905678122000,9638236117000,9779172905000,10847293503570,"12485042969195,9","13867406462270,8",15352532574816,"19947400924969,8","26846102885019,9","32480394549115,4","38657120259079,7","44878794341338,3","50155795129650,5","60657004202672,6","69755258287222,9"
FM.AST.NFRG.CN,-665080000,-629540000,-403340000,-178940000,153660000,317600000,-145900000,"-2425180000,47502","-3599080000,47502","-4980780000,47502","-5195860000,91854","-5244029033,97432","-5015694125,02884","-2966318867,42884","787100252,571199","3416385832,9712","9664159755,6452",21640105672,"41657768203,1469","60682311005,7824","79841894040,5328","84183523134,928","64338872330,1349","56943537754,1048",54414746912,"53789375849,478",121987286230,115733024050,87683758000,"561569964580,8",916382045210,"1259108888911,8",1035899612500,"1343510882243,6","2120974819425,42","2170072782286,86","2563125271794,96","2017107997738,56","2896725972661,48","4131056512531,75","4088611695839,84","4692850592422,09","5410503461379,04","7574474952080,26","8904310986133,46","9164174294195,8","9817475697115,8","12476887638644,6","15445939484298,4","18292981644945,8","19019273494837,3","21155543251299,1","19041912373946,5","22695280805322,1","25942640275796,9"
FM.AST.DOMS.CN,4108000000,4909000000,5365000000,6448000000,7820000000,9065000000,10618000000,15595100000,16417600000,19553900000,21703100000,23623300000,27073300000,31035100000,33915500000,38618600000,43351000000,50645400000,58416000000,69203800000,97096300000,129236100000,146173000000,170488000000,206786200000,236225800000,308418100000,395759000000,549719000000,693529000000,966063000000,1481438000000,2858922000000,3763926000000,4454621000000,4772505803000,5247075026000,7212335603000,6625872712480,6935796837750,7726635533440,8996624009554,10168373925174,"7499970286394,8","8285901376541,85","9180370717963,94","9497031445874,32","11982380757508,4","18393130903823,2","21404540983537,4","28195219320031,7","34567833176519,1","41802909110730,7","47868413305181,8","56199804297022,8"
FI.RES.XGLD.CD,910000,2440000,"2059999,99868","3139999,99818","5389999,99768","10189999,99719","11459999,99624","12179999,99623","12139999,99623","10249999,99623","17519999,99271","21038817,19068","31391951,38866","57010008,98866","87134128,98866","115015284,38866","157506982,18766",267844172,"448732604,78688","609085007,9824","761851381,27407","805699389,95975","739000574,04869","680191886,93734","666268528,8","533616799,52962","446670338,6",497020771,323664395,"432549469,6",661424427,"962115405,4",561527500,"631179432,92","1030734937,3313","1092914173,89766","1049287144,52108","835677632,80625","864740777,71531","978049557,99751","762827643,30884","713509987,67675","629194259,92272","968858231,89235","1168047075,38423","1297089015,94931","1702146966,0588","2461472167,48475","2844555987,68435","3838642103,27121","4136813980,31116","4950058700,55407","4556608687,37684","5555579915,2","6668896575,88019"
FI.RES.TOTL.CD,"1011709,19999714","2520352,9","2140170,01867771","3220192,87817771","5470284,31767771","10270284,3171877","11540444,3362377","12260467,1962277","12235783,3962277","10330467,1962277","17605427,8127077","21138555,37068","31540312,78866","57266612,48866","87572217,48866","115344731,63866","157823509,93766","268861088,75","451139730,78688","627066447,9824","782720270,77407","819771287,45975","755180316,848655","693701564,93734","677186048,399965","545196523,52962","460512889,4","514163720,2",337995248,"446557201,6",674873247,"974467360,6",573168589,"644825618,37068","1044122626,3313","1106424124,89766","1062185785,52108","845814899,55557","874794206,96599","988188570,99751","772414730,70884","723168685,67675","641167202,92272","983433608,89235","1168047075,38423","1297089015,94931","1702146966,0588","2461472167,48475","2863012082,68435","3861718853,27121","4166638690,31116","4982546520,55407","4994947887,37684","5872875327,7","6986587125,88019"
FD.AST.PRVT.GD.ZS,"9,0707553625","5,1186866193","5,9141894585","6,9337931663","8,4214043243","10,0582467695","12,4307754254","15,393366183","17,4528715151","20,3031252294","22,162741948","22,3351699285","22,0363917119","21,1243204188","18,4981353686","19,1122871087","19,7613257534","19,8929250144","20,4678187159","19,7998302534","20,1335557476","18,6555613118","19,5371061935","18,5025824412","16,8349793088","14,079886218","13,6836950447","11,8746098577","14,0985648289","13,7062161609","14,5326524191","16,8727343447","19,9087688925","23,0556160961","26,8352448438","23,8483379555","25,6603379539","27,0608369881","23,3916434704","23,9934883247","23,4865283216","24,1006877327","20,9182032565","14,6995352684","14,61982632","14,9979899055","14,6271347932","17,6361602158","24,7965916181","30,1716277244","34,479516199","38,8375402923","42,6245399238","45,6307427864","49,7986466533"
ER.FSH.PROD.MT,600,600,600,700,700,700,700,800,1000,1400,1800,2200,2500,2700,2700,2800,2900,3000,3100,3200,3300,3350,3400,3500,5000,7500,13000,10022,10054,11051,12551,13050,18000,19075,20100,21190,22350,28350,28095,28095,28103,25570,25200,24700,24700,23920,23250,22550,21850,21200,"20757,42","21929,06",22400,23450,24500
ER.FSH.CAPT.MT,600,600,600,700,700,700,700,800,1000,1400,1800,2200,2500,2700,2700,2800,2900,3000,3100,3200,3300,3350,3400,3500,5000,7500,13000,10000,10000,11000,12490,12990,17925,19000,20000,21000,22000,28000,28000,28000,28000,25000,24200,23400,22600,21800,21000,20200,19400,18600,17800,17000,17000,17000,17000
EN.URB.MCTY.TL.ZS,"20,0849663482","20,3524133903","20,6224190747","20,8432495546","21,0450807556","21,2457499425","21,4471512842","21,6493949324","21,859415543","22,0811460002","22,3219576234","22,5818869547","22,8581518141","23,0605351316","23,2588085359","23,4467015698","23,6246943124","23,7906911383","23,94487182","24,083375586","24,2063202613","24,3107804664","24,4033223969","24,5586583861","24,7184079602","24,8826877962","25,0570972671","25,2413051518","25,4398487055","25,6522257194","25,8845823425","26,1377961152","26,4137199176","26,6028857514","26,7901424615","26,9918646932","27,209505009","27,4416074706","27,6940117179","27,9687354181","28,2694127882","28,5920514184","28,9404142421","29,316944451","29,7273965057","30,1705652996","30,6524770445","31,1695294796","31,715370479","32,2751694029","32,8449822758","33,4208326561","34,0061907818","34,60208062","35,2128601554"
EN.URB.MCTY,382191,397550,413549,429145,444913,461214,478137,495680,513893,532722,552268,572531,593567,613199,633459,654389,676040,698346,721419,745255,769913,795316,821593,851153,881891,913649,946598,980734,1016151,1052744,1090709,1130042,1170851,1208277,1246069,1285043,1325292,1366687,1409433,1453517,1499043,1545865,1594216,1644079,1695574,1748533,1803223,1859624,1917870,1977773,2039633,2103428,2169310,2237256,2307329
EN.URB.LCTY.UR.ZS,"56,4676315541","57,0575225367","57,6512311645","58,0333477579","58,330580116","58,6203039724","58,9094040766","59,1982534795","59,5056987991","59,8405366667","60,2238104481","60,655060371","61,1246070085","60,8200805778","60,4957631125","60,1490331322","59,7821088748","59,3935672405","58,9804194089","58,5386065509","58,0654479087","57,5607277707","57,0370869184","56,4411218027","55,8646085003","55,31577523","54,8031603647","54,3255955141","53,8900043594","53,4989884555","53,1576307888","52,8687728865","52,6316475577","52,3225587141","52,0318220026","51,7769996938","51,5585336638","51,3753090931","51,2339815767","51,1376813634","51,0914476597","51,0882482802","51,1314754018","51,5299652409","52,0419312898","52,6077897774","53,2364370894","53,9209312926","54,6496373161","55,3985004274","56,1577446516","56,9214032885","57,696286954","58,4751417605","59,2649471752"
EN.URB.LCTY,382191,397550,413549,429145,444913,461214,478137,495680,513893,532722,552268,572531,593567,613199,633459,654389,676040,698346,721419,745255,769913,795316,821593,851153,881891,913649,946598,980734,1016151,1052744,1090709,1130042,1170851,1208277,1246069,1285043,1325292,1366687,1409433,1453517,1499043,1545865,1594216,1644079,1695574,1748533,1803223,1859624,1917870,1977773,2039633,2103428,2169310,2237256,2307329
DT.ODA.ODAT.PC.ZS,"4,8978622303","4,6433502566","1,9398235808","4,9637770555","4,9903150048","4,3991923912","5,5621019901","7,7568845626","8,7796163172","7,7013469067","7,6148841074","9,0243772568","9,6274522565","9,2212205406","12,8179567421","13,2391532101","14,3731684082","16,3113741856","14,2092177031","9,8045583764","9,5798691328","16,6531456655","25,2589607827","14,7902530905","14,109733025","13,6144795532","17,5156521159","20,7827544575","18,9944341076","22,7514791385","13,572265968","33,6286100622","22,1375592241","28,3339446778","20,448389692","29,2678643932","18,1657853756","21,7133508395","15,0649224079","15,0203918271","15,3789491887","11,3527385384","10,3056757461","9,1370319411","3,9342592985","8,7395498537","9,5141817744","18,0937152205","22,0831994544","24,1177692589","19,3417679609","14,7479337878","16,1322129772","19,885026592","9,1842555793"
DT.ODA.ODAT.KD,80450000,58250000,22950000,63950000,63710000,63240000,81320000,119940000,127460000,109980000,115140000,124690000,132790000,114930000,151300000,139160000,150700000,157960000,118740000,78520000,72380000,132080000,217840000,127400000,130040000,127620000,124930000,129830000,108690000,128820000,82050000,202890000,122500000,148620000,97500000,143630000,102490000,146360000,110000000,103900000,100320000,84130000,77330000,64030000,29290000,56680000,62900000,116160000,134920000,146650000,126360000,96920000,109290000,128230000,58210000
DT.ODA.ODAT.CD,9320000,9070000,3890000,10220000,10550000,9550000,12400000,17760000,20640000,18580000,18840000,22880000,25000000,24520000,34910000,36950000,41130000,47880000,42810000,30340000,30470000,54480000,85040000,51260000,50340000,49990000,66170000,80750000,75870000,93370000,57190000,145390000,98130000,128690000,95110000,139340000,88480000,108140000,76670000,78060000,81550000,61380000,56770000,51240000,22440000,50650000,55970000,107950000,133540000,147790000,120110000,92820000,102910000,128570000,60180000
DT.ODA.ALLD.KD,80450000,58250000,22950000,63950000,63710000,63240000,81320000,119940000,127460000,109980000,115140000,124690000,132790000,114930000,151300000,139160000,150700000,157960000,118740000,78520000,72380000,132080000,217840000,127400000,130040000,127620000,124930000,129830000,108690000,128820000,82050000,202890000,122500000,148620000,97500000,143630000,102490000,146360000,110000000,103900000,100320000,84130000,77330000,64030000,29290000,56680000,62900000,116160000,134920000,146650000,126360000,96920000,109290000,128230000,58210000
DT.ODA.ALLD.CD,9320000,9070000,3890000,10220000,10550000,9550000,12400000,17760000,20640000,18580000,18840000,22880000,25000000,24520000,34910000,36950000,41130000,47880000,42810000,30340000,30470000,54480000,85040000,51260000,50340000,49990000,66170000,80750000,75870000,93370000,57190000,145390000,98130000,128690000,95110000,139340000,88480000,108140000,76670000,78060000,81550000,61380000,56770000,51240000,22440000,50650000,55970000,107950000,133540000,147790000,120110000,92820000,102910000,128570000,60180000
DC.DAC.TOTL.CD,9100000,9730000,2620000,8250000,7700000,5990000,5120000,5240000,9490000,11640000,9430000,12870000,11480000,12580000,19860000,12390000,17470000,25200000,20820000,16800000,25260000,30920000,61350000,35740000,34540000,28380000,48150000,54490000,63100000,89670000,48120000,128330000,66790000,98610000,88990000,116230000,65890000,75670000,61380000,71730000,78010000,66710000,62200000,62150000,32030000,60720000,66410000,111760000,120150000,153140000,97020000,67450000,56760000,47350000,14520000
DC.DAC.JPNL.CD,3090000,730000,-410000,-410000,-370000,-490000,-490000,-430000,-450000,-480000,100000,300000,340000,490000,950000,320000,6540000,14730000,12520000,7240000,16450000,23130000,30450000,21760000,23020000,18850000,34050000,39280000,43580000,72530000,26370000,49920000,50960000,78480000,70310000,77600000,41180000,31400000,21020000,32760000,51510000,34770000,26820000,20220000,-3280000,27470000,25920000,28900000,30850000,37310000,-3730000,-23530000,-19250000,-11650000,-16400000
BX.GRT.TECH.CD.WD,840000,480000,560000,460000,670000,1000000,4180000,4280000,3160000,4650000,6910000,6400000,6350000,7650000,6390000,10480000,8890000,10100000,12430000,12540000,20570000,22420000,20710000,19950000,21260000,22820000,29140000,31860000,37110000,34250000,39850000,44260000,57910000,56970000,53870000,63320000,53300000,50560000,42450000,52060000,56080000,46340000,47650000,48270000,48150000,45300000,49770000,37570000,44650000,55670000,57190000,48940000,47250000,39600000,38750000
BX.GRT.EXTA.CD.WD,4010000,10020000,3030000,7660000,6110000,5710000,"890000,000000001",1230000,11290000,2350000,1050000,1500000,3230000,1470000,6060000,1140000,2100000,1750000,4630000,6460000,9860000,12750000,7980000,4480000,11130000,6460000,13970000,15420000,15630000,14450000,8240000,21680000,45130000,23090000,20800000,36030000,20840000,22610000,21660000,33050000,26020000,19680000,18740000,18530000,19890000,21460000,22550000,80840000,85850000,98360000,98840000,81050000,67820000,60550000,45960000
